"matchID","platformID","queueType","season","timestamp","duration","winner(side)","champID","lane","role","summoner1","summoner2","matchup1","matchup2","kills","deaths","assists","minionsKilled","goldEarned","totalDmgDealtToChamps","totalCCDealt","wardsPlaced","doubleKills","tripleKills","quadraKills","pentaKills","win"
"2740521697","EUW1","TEAM_BUILDER_DRAFT_RANKED_5x5","SEASON2016","Sun Jul 03 17:52:48 CEST 2016","1643","BLUE","105","TOP","SOLO","Teleport","Flash","Yasuo","","4","0","6","169","9855","8484","109","10","0","0","0","0","true"
"2740120493","EUW1","TEAM_BUILDER_DRAFT_RANKED_5x5","SEASON2016","Sun Jul 03 13:41:42 CEST 2016","1607","PURPLE","105","MID","SOLO","Cleanse","Flash","","","4","6","6","113","8184","7770","52","6","0","0","0","0","false"
"2740044072","EUW1","TEAM_BUILDER_DRAFT_RANKED_5x5","SEASON2016","Sun Jul 03 12:50:16 CEST 2016","2416","BLUE","432","BOTTOM","DUO_SUPPORT","Ignite","Flash","Sion","Lucian","1","4","21","36","11326","14636","337","32","0","0","0","0","false"
"2739989362","EUW1","TEAM_BUILDER_DRAFT_RANKED_5x5","SEASON2016","Sun Jul 03 12:19:22 CEST 2016","1400","BLUE","44","BOTTOM","DUO_SUPPORT","Exhaust","Flash","Caitlyn","Lulu","0","1","9","46","6065","4240","64","10","0","0","0","0","false"
"2737003119","EUW1","TEAM_BUILDER_DRAFT_RANKED_5x5","SEASON2016","Fri Jul 01 11:03:41 CEST 2016","2509","BLUE","44","BOTTOM","DUO_SUPPORT","Ignite","Flash","Blitzcrank","Ezreal","1","9","26","34","12518","8816","466","36","0","0","0","0","true"
"2736756555","EUW1","TEAM_BUILDER_DRAFT_RANKED_5x5","SEASON2016","Fri Jul 01 00:11:23 CEST 2016","2152","BLUE","236","BOTTOM","DUO_CARRY","Heal","Flash","Vayne","Thresh","5","6","5","173","12130","11546","0","12","0","0","0","0","false"
"2736365906","EUW1","TEAM_BUILDER_DRAFT_RANKED_5x5","SEASON2016","Thu Jun 30 18:46:19 CEST 2016","1221","BLUE","44","BOTTOM","DUO_SUPPORT","Ignite","Flash","Shaco","Twitch","2","1","15","29","6889","3013","16","12","0","0","0","0","true"
"2735616330","EUW1","TEAM_BUILDER_DRAFT_RANKED_5x5","SEASON2016","Thu Jun 30 11:53:36 CEST 2016","1934","PURPLE","432","BOTTOM","DUO_SUPPORT","Ignite","Flash","Miss Fortune","Soraka","5","7","8","14","9579","12612","420","27","0","0","0","0","false"
"2734553562","EUW1","TEAM_BUILDER_DRAFT_RANKED_5x5","SEASON2016","Wed Jun 29 13:34:52 CEST 2016","2113","BLUE","223","TOP","SOLO","Teleport","Flash","Illaoi","","1","2","4","213","11809","15010","390","7","0","0","0","0","true"
"2734517564","EUW1","TEAM_BUILDER_DRAFT_RANKED_5x5","SEASON2016","Wed Jun 29 12:46:29 CEST 2016","1563","PURPLE","48","TOP","SOLO","Teleport","Flash","Swain","","4","3","9","117","9765","10786","199","8","0","0","0","0","true"
"2733055100","EUW1","TEAM_BUILDER_DRAFT_RANKED_5x5","SEASON2016","Tue Jun 28 19:26:56 CEST 2016","1668","BLUE","421","JUNGLE","NONE","Smite","Flash","Zac","","3","5","2","17","7552","6767","394","3","0","0","0","0","false"
"2731635341","EUW1","TEAM_BUILDER_DRAFT_RANKED_5x5","SEASON2016","Mon Jun 27 21:04:47 CEST 2016","2256","BLUE","432","BOTTOM","DUO_SUPPORT","Ignite","Flash","Lucian","Morgana","6","9","20","13","13400","16634","458","23","0","0","0","0","true"
"2730908624","EUW1","TEAM_BUILDER_DRAFT_RANKED_5x5","SEASON2016","Mon Jun 27 09:12:21 CEST 2016","2100","PURPLE","432","BOTTOM","DUO_SUPPORT","Ignite","Flash","Ashe","Soraka","1","4","10","13","10387","15645","420","26","0","0","0","0","true"
"2729991141","EUW1","TEAM_BUILDER_DRAFT_RANKED_5x5","SEASON2016","Sun Jun 26 19:23:13 CEST 2016","2254","BLUE","432","BOTTOM","DUO_SUPPORT","Ignite","Flash","Blitzcrank","Tristana","5","8","14","34","12429","12403","988","26","0","0","0","0","false"
"2729052893","EUW1","TEAM_BUILDER_DRAFT_RANKED_5x5","SEASON2016","Sat Jun 25 23:37:17 CEST 2016","2184","BLUE","432","BOTTOM","DUO_SUPPORT","Exhaust","Flash","Caitlyn","Janna","5","6","15","33","11491","14894","981","27","1","0","0","0","false"
"2729002249","EUW1","TEAM_BUILDER_DRAFT_RANKED_5x5","SEASON2016","Sat Jun 25 22:40:56 CEST 2016","2241","BLUE","412","BOTTOM","DUO_SUPPORT","Ignite","Flash","Bard","Lucian","4","8","23","28","12386","16150","543","30","0","0","0","0","true"
"2728931590","EUW1","TEAM_BUILDER_DRAFT_RANKED_5x5","SEASON2016","Sat Jun 25 21:43:25 CEST 2016","1877","BLUE","432","BOTTOM","DUO_SUPPORT","Ignite","Flash","Taric","Ezreal","0","4","18","9","10029","13600","219","24","0","0","0","0","true"
"2728853634","EUW1","TEAM_BUILDER_DRAFT_RANKED_5x5","SEASON2016","Sat Jun 25 20:57:57 CEST 2016","1697","PURPLE","432","BOTTOM","DUO_SUPPORT","Ignite","Flash","Morgana","Draven","2","5","8","25","7492","8097","321","15","0","0","0","0","false"
"2728788521","EUW1","TEAM_BUILDER_DRAFT_RANKED_5x5","SEASON2016","Sat Jun 25 20:26:03 CEST 2016","1419","PURPLE","432","BOTTOM","DUO_SUPPORT","Heal","Flash","Ashe","Thresh","1","4","8","13","6058","6811","105","21","0","0","0","0","false"
"2722068687","EUW1","TEAM_BUILDER_DRAFT_RANKED_5x5","SEASON2016","Tue Jun 21 15:40:29 CEST 2016","1688","BLUE","432","BOTTOM","DUO_SUPPORT","Ignite","Flash","Alistar","Ezreal","6","4","16","15","9798","11434","531","19","1","0","0","0","true"
"2722081889","EUW1","TEAM_BUILDER_DRAFT_RANKED_5x5","SEASON2016","Tue Jun 21 15:07:33 CEST 2016","1393","BLUE","432","BOTTOM","DUO_SUPPORT","Ignite","Flash","Jinx","Zilean","3","2","11","18","7404","6220","144","12","0","0","0","0","true"
"2720584301","EUW1","TEAM_BUILDER_DRAFT_RANKED_5x5","SEASON2016","Mon Jun 20 16:12:41 CEST 2016","2073","BLUE","432","BOTTOM","DUO_SUPPORT","Ignite","Flash","Sona","Miss Fortune","2","4","19","18","12049","14769","529","16","0","0","0","0","true"
